YEAR,MO,DY,HR,UV,Tem,Hum
2018,1,22,2,0,24.48,94.62
2018,1,22,3,0,24.26,95.06
2018,1,22,4,0,24.03,95.56
2018,1,22,5,0,23.82,95.88
2018,1,22,6,0.02,24.2,93.75
2018,1,22,7,0.3,25.45,86
2018,1,22,8,1.6,27.02,76.19
2018,1,22,9,3.67,28.37,69.19
2018,1,22,10,5.27,29.35,64.81
2018,1,22,11,5.65,29.97,62.19
2018,1,22,12,5.9,30.34,60.69
2018,1,22,13,5.05,30.68,59.38
2018,1,22,14,3.77,30.94,58.44
2018,1,22,15,1.65,30.64,59.38
2018,1,22,16,0.5,29.94,64.06
2018,1,22,17,0.02,28.45,74.69
2018,1,22,18,0,27.03,82.75
2018,1,22,19,0,26.33,85.19
2018,1,22,20,0,25.73,87.75
2018,1,22,21,0,25.24,90.94
2018,1,22,22,0,24.94,93.5
2018,1,22,23,0,24.83,95
2018,1,23,0,0,24.75,95.75
2018,1,23,1,0,24.71,94.5
2018,1,23,2,0,24.59,95.38
2018,1,23,3,0,24.4,94.31
2018,1,23,4,0,24.08,95.06
2018,1,23,5,0,23.7,96.56
2018,1,23,6,0.02,24.09,95.88
2018,1,23,7,0.48,25.7,88.38
2018,1,23,8,2.05,27.9,74.69
2018,1,23,9,4.65,30.11,63.06
2018,1,23,10,6.85,31.51,57.44
2018,1,23,11,6.62,32.48,54.06
2018,1,23,12,6.3,33.05,52.12
2018,1,23,13,6.02,33.08,51.62
2018,1,23,14,4.3,32.81,52.38
2018,1,23,15,2.15,31.88,55.56
2018,1,23,16,0.55,30.58,62.25
2018,1,23,17,0.02,28.69,72.69
2018,1,23,18,0,27.36,77.81
2018,1,23,19,0,26.48,81.88
2018,1,23,20,0,25.79,86
2018,1,23,21,0,25.34,88.88
2018,1,23,22,0,25.09,90.56
2018,1,23,23,0,24.94,91.56
2018,1,24,0,0,24.8,92.38
2018,1,24,1,0,24.68,93.12
2018,1,24,2,0,24.54,94.12
2018,1,24,3,0,24.37,95.12
2018,1,24,4,0,24.28,94.56
2018,1,24,5,0,24.13,93.56
2018,1,24,6,0.02,24.27,93.75
2018,1,24,7,0.4,26.22,81.81
2018,1,24,8,1.88,28.42,67.75
2018,1,24,9,4.2,30.35,57.88
2018,1,24,10,7.12,31.83,52
2018,1,24,11,7.2,32.93,48.12
2018,1,24,12,7.25,33.4,46.06
2018,1,24,13,7.1,33.33,45.44
2018,1,24,14,5.12,32.81,46.25
2018,1,24,15,2.42,31.63,49.81
2018,1,24,16,0.67,30.12,57
2018,1,24,17,0.02,28.32,65.62
2018,1,24,18,0,27.16,71
2018,1,24,19,0,26.31,76.31
2018,1,24,20,0,25.69,80.88
2018,1,24,21,0,25.27,83.88
2018,1,24,22,0,24.93,86.56
2018,1,24,23,0,24.7,88.25
2018,1,25,0,0,24.5,89.25
2018,1,25,1,0,24.26,90.44
2018,1,25,2,0,24.03,91.38
2018,1,25,3,0,23.86,92.12
2018,1,25,4,0,23.66,92.94
2018,1,25,5,0,23.33,94.25
2018,1,25,6,0.02,23.76,92.69
2018,1,25,7,0.45,25.55,83.88
2018,1,25,8,2.02,27.89,72.44
2018,1,25,9,4.83,29.79,64.31
2018,1,25,10,6.73,31.23,58.25
2018,1,25,11,8.1,32.48,52.81
2018,1,25,12,8.62,33.12,49.56
2018,1,25,13,7.75,33.48,47.38
2018,1,25,14,5.6,33.52,46.12
2018,1,25,15,2.73,33.04,46.44
2018,1,25,16,0.73,31.69,51
2018,1,25,17,0.05,29.08,63.25
2018,1,25,18,0,27.51,68
2018,1,25,19,0,26.48,73.56
2018,1,25,20,0,25.64,79.5
2018,1,25,21,0,25.05,84.19
2018,1,25,22,0,24.68,87.69
2018,1,25,23,0,24.29,90.62
2018,1,26,0,0,24.19,90.88
2018,1,26,1,0,23.8,92.94
2018,1,26,2,0,23.51,93.5
2018,1,26,3,0,23.47,92.19
2018,1,26,4,0,23.33,91.38
2018,1,26,5,0,23.12,91.44
2018,1,26,6,0.02,23.71,87.94
2018,1,26,7,0.38,26.1,74.12
2018,1,26,8,1.8,29.01,60.06
2018,1,26,9,4.48,31.08,53.94
2018,1,26,10,6.83,32.48,49.94
2018,1,26,11,6.73,33.52,46.75
2018,1,26,12,6.73,34.12,44.75
2018,1,26,13,6.7,34.32,43.75
2018,1,26,14,4.75,34.07,43.88
2018,1,26,15,2.27,33.3,45.5
2018,1,26,16,0.62,32.08,50.31
2018,1,26,17,0.02,29.8,63.44
2018,1,26,18,0,28.37,67.88
2018,1,26,19,0,27.42,73.12
2018,1,26,20,0,26.51,79.94
2018,1,26,21,0,25.84,85.44
2018,1,26,22,0,25.33,89.5
2018,1,26,23,0,24.94,91.88
2018,1,27,0,0,24.59,93.44
2018,1,27,1,0,24.27,94.38
2018,1,27,2,0,24.03,94.38
2018,1,27,3,0,23.88,93.69
2018,1,27,4,0,23.8,92.81
2018,1,27,5,0,23.57,93.31
2018,1,27,6,0.02,23.93,91.94
2018,1,27,7,0.5,26.55,74.88
2018,1,27,8,2.33,29.06,60.62
2018,1,27,9,5.33,30.83,53.38
2018,1,27,10,7.9,32.15,48.94
2018,1,27,11,8.3,33.09,46
2018,1,27,12,7.9,33.71,44.19
2018,1,27,13,6.92,34.21,42.81
2018,1,27,14,5.23,34.33,42.38
2018,1,27,15,2.33,33.82,43.38
2018,1,27,16,0.65,32.76,46.94
2018,1,27,17,0.02,30.76,60.31
2018,1,27,18,0,28.77,68.75
2018,1,27,19,0,27.75,71.06
2018,1,27,20,0,26.81,76.94
2018,1,27,21,0,26.03,83.19
2018,1,27,22,0,25.55,87.19
2018,1,27,23,0,25.26,89.44
2018,1,28,0,0,25.01,91.25
2018,1,28,1,0,24.71,93.38
2018,1,28,2,0,24.51,94.56
2018,1,28,3,0,24.39,94.88
2018,1,28,4,0,24.26,94.94
2018,1,28,5,0,24.12,95.38
2018,1,28,6,0.02,24.61,92.88
2018,1,28,7,0.38,26.7,80.06
2018,1,28,8,1.67,28.87,68.69
2018,1,28,9,4.67,30.65,61
2018,1,28,10,7.05,32.01,55.12
2018,1,28,11,7.83,32.96,51.12
2018,1,28,12,7.3,33.58,48.5
2018,1,28,13,6.67,33.91,46.88
2018,1,28,14,4.67,33.84,46.44
2018,1,28,15,1.95,33.18,47.81
2018,1,28,16,0.58,32.01,52.19
2018,1,28,17,0.02,29.88,63.06
2018,1,28,18,0,28.37,68.75
2018,1,28,19,0,27.01,77.06
2018,1,28,20,0,25.75,86.5
2018,1,28,21,0,25.09,91.38
2018,1,28,22,0,24.76,93.75
2018,1,28,23,0,24.62,95.06
2018,1,29,0,0,24.57,96.06
2018,1,29,1,0,24.51,96.5
2018,1,29,2,0,24.39,96.94
2018,1,29,3,0,24.31,96.12
2018,1,29,4,0,24.22,95.75
2018,1,29,5,0,24.07,96
2018,1,29,6,0.02,24.47,95.44
2018,1,29,7,0.33,26.3,85.56
2018,1,29,8,1.55,28.29,74.81
2018,1,29,9,3.67,30.43,62.56
2018,1,29,10,6.12,32.14,53.25
2018,1,29,11,7.6,33.37,47.88
2018,1,29,12,7.38,34.26,44.06
2018,1,29,13,6.75,34.69,42
2018,1,29,14,4.67,34.57,41.62
2018,1,29,15,2.33,33.9,43.06
2018,1,29,16,0.67,32.43,50.06
2018,1,29,17,0.02,29.73,64.12
2018,1,29,18,0,28.01,68.88
2018,1,29,19,0,26.68,76.88
2018,1,29,20,0,25.58,84.75
2018,1,29,21,0,24.96,89.69
2018,1,29,22,0,24.59,92.69
2018,1,29,23,0,24.3,95
2018,1,30,0,0,24.16,95.62
2018,1,30,1,0,24.26,94.81
